"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Identification & Authentication,IAC-10,Authenticator Management (Passwords),IAC-10,Mechanisms exist to securely manage passwords for users and devices.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(a),Password-Based Authentication ,IAC-10.1,"Mechanisms exist to enforce complexity, length and lifespan considerations to ensure strong criteria for password-based authentication.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(b),PKI-Based Authentication,IAC-10.2,Automated mechanisms exist to validate certificates by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information for PKI-based authentication.,10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(c),In-Person or Trusted Third-Party Registration,IAC-10.3,Mechanisms exist to conduct in-person or trusted third-party identify verification before user accounts for third-parties are created.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(d),Automated Support For Password Strength,IAC-10.4,Automated mechanisms exist to determine if password authenticators are sufficiently strong enough to satisfy organization-defined password length and complexity requirements. ,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(e),Protection of Authenticators,IAC-10.5,Mechanisms exist to protect authenticators commensurate with the sensitivity of the information to which use of the authenticator permits access. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(f),No Embedded Unencrypted Static Authenticators,IAC-10.6,"Mechanisms exist to ensure that unencrypted, static authenticators are not embedded in applications, scripts or stored on function keys. ",10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(g),Hardware Token-Based Authentication,IAC-10.7,Automated mechanisms exist to ensure organization-defined token quality requirements are satisfied for hardware token-based authentication.,9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(h),Vendor-Supplied Defaults,IAC-10.8,Mechanisms exist to ensure vendor-supplied defaults are changed as part of the installation process.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(i),Multiple Information System Accounts,IAC-10.9,Mechanisms exist to implement security safeguards to manage the risk of compromise due to individuals having accounts on multiple information systems.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-10(j),Expiration of Cached Authenticators,IAC-10.10,Automated mechanisms exist to prohibit the use of cached authenticators after organization-defined time period.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-11,Authenticator Feedback,IAC-11,Mechanisms exist to obscure the feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals. ,6,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-12,Cryptographic Module Authentication ,IAC-12,"Mechanisms exist to ensure cryptographic modules adhere to applicable statutory, regulatory and contractual requirements for security strength.",8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-13,Adaptive Identification & Authentication ,IAC-13,Mechanisms exist to allow individuals to utilize alternative methods of authentication under specific circumstances or situations.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-14,Re-Authentication ,IAC-14,Mechanisms exist to force users and devices to re-authenticate according to organization-defined circumstances that necessitate re-authentication. ,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15,Account Management ,IAC-15,"Mechanisms exist to proactively govern account management of individual, group, system, application, guest and temporary accounts.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(a),Automated System Account Management ,IAC-15.1,Automated mechanisms exist to support the management of system accounts. ,5,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(b),Removal of Temporary / Emergency Accounts,IAC-15.2,Automated mechanisms exist to disable or remove temporary and emergency accounts after an organization-defined time period for each type of account. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(c),Disable Inactive Accounts,IAC-15.3,Automated mechanisms exist to disable inactive accounts after an organization-defined time period. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(d),Automated Audit Actions,IAC-15.4,"Automated mechanisms exist to audit account creation, modification, enabling, disabling and removal actions and notify organization-defined personnel or roles. ",5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(e),Restrictions on Shared Groups / Accounts,IAC-15.5,Mechanisms exist to authorize the use of shared/group accounts only under certain organization-defined conditions.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(f),Account Disabling for High Risk Individuals,IAC-15.6,Mechanisms exist to disable accounts immediately upon notification for users posing a significant risk to the organization.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(g),System Accounts,IAC-15.7,Mechanisms exist to review all system accounts and disable any account that cannot be associated with a business process and owner. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-15(h),Usage Conditions,IAC-15.8,Automated mechanisms exist to enforce usage conditions for users and/or roles.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-16,Privileged Account Management (PAM) ,IAC-16,Mechanisms exist to restrict and control privileged access rights for users and services.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Identification & Authentication,IAC-16(a),Privileged Account Inventories ,IAC-16.1,Mechanisms exist to inventory all privileged accounts and validate that each person with elevated privileges is authorized by the appropriate level of organizational management. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-17,Periodic Review of User Privileges,IAC-17,"Mechanisms exist to periodically review the privileges assigned to users to validate the need for such privileges; and reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",10,Management,Basic,Detect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-18,User Responsibilities for Account Management,IAC-18,"Mechanisms exist to compel users to follow accepted practices in the use of authentication mechanisms (e.g., passwords, passphrases, physical or logical security tokens, smart cards, certificates, etc.). ",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Identification & Authentication,IAC-19,Credential Sharing ,IAC-19,"Mechanisms exist to prevent the sharing of generic IDs, passwords or other generic authentication methods.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Identification & Authentication,IAC-20,Access Enforcement ,IAC-20,"Mechanisms exist to enforce logical access permissions through the principle of ""least privilege.""",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-20(a),Access To Sensitive Data,IAC-20.1,Mechanisms exist to limit access to sensitive data to only those individuals whose job requires such access. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-20(b),Database Access,IAC-20.2,Mechanisms exist to restrict access to database containing sensitive data to only necessary services or those individuals whose job requires such access. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-20(c),Use of Privileged Utility Programs,IAC-20.3,Mechanisms exist to restrict and tightly control utility programs that are capable of overriding system and application controls.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-20(d),Dedicated Administrative Machines,IAC-20.4,Mechanisms exist to restrict executing administrative tasks or tasks requiring elevated access to a dedicated machine.,8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-20(e),Dual Authorization for Privileged Commands,IAC-20.5,Automated mechanisms exist to enforce dual authorization for privileged commands.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21,Least Privilege ,IAC-21,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(a),Authorize Access to Security Functions ,IAC-21.1,Mechanisms exist to limit access to security functions to explicitly-authorized privileged users.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(b),Non-Privileged Access for Non-Security Functions ,IAC-21.2,"Mechanisms exist to prohibit privileged users from using privileged accounts, while performing non-security functions. ",9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(c),Privileged Accounts ,IAC-21.3,Mechanisms exist to restrict the assignment of privileged accounts to organization-defined personnel or roles without management approval.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(d),Auditing Use of Privileged Functions ,IAC-21.4,Mechanisms exist to audit the execution of privileged functions. ,9,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(e),Prohibit Non-Privileged Users from Executing Privileged Functions ,IAC-21.5,"Mechanisms exist to prevent non-privileged users from executing privileged functions to include disabling, circumventing or altering implemented security safeguards / countermeasures. ",9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(f),Network Access to Privileged Commands,IAC-21.6,"Mechanisms exist to authorize remote access to perform privileged commands on critical systems or where sensitive data is stored, transmitted and/or processed only for compelling operational needs.",5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-21(g),Privilege Levels for Code Execution,IAC-21.7,Automated mechanisms exist to prevent applications from executing at higher privilege levels than the user's privileges. ,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-22,Account Lockout ,IAC-22,Mechanisms exist to enforce a limit for consecutive invalid login attempts by a user during an organization-defined time period and automatically locks the account when the maximum number of unsuccessful attempts is exceeded.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-23,Concurrent Session Control,IAC-23,Mechanisms exist to limit the number of concurrent sessions for each system account. ,6,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-24,Session Lock ,IAC-24,"Mechanisms exist to initiate a session lock after an organization-defined time period of inactivity, or upon receiving a request from a user and retain the session lock until the user reestablishes access using established identification and authentication methods.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-24(a),Pattern-Hiding Displays ,IAC-24.1,Mechanisms exist to implement pattern-hiding displays to conceal information previously visible on the display during the session lock. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-25,Session Termination ,IAC-25,"Automated mechanisms exist to log out users, both locally on the network and for remote sessions, at the end of the session or after an organization-defined period of inactivity. ",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-25(a),User-Initiated Logouts / Message Displays,IAC-25.1,Mechanisms exist to provide a logout capability and display an explicit logout message to users indicating the reliable termination of the session. ,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-26,Permitted Actions Without Identification or Authorization,IAC-26,Mechanisms exist to identify and document the supporting rationale for specific user actions that can be performed on a system without identification or authentication.,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-27,Reference Monitor,IAC-27,"Mechanisms exist to implement a reference monitor that is tamperproof, always-invoked, small enough to be subject to analysis / testing and the completeness of which can be assured.",1,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28,Identity Proofing,IAC-28,"Mechanisms exist to collect, validate and verify identity evidence of a user.",10,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28(a),Supervisor Authorization,IAC-28.1,Mechanisms exist to require the registration process to receive supervisor or sponsor authorization for new accounts.,10,Management,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28(b),Identity Evidence,IAC-28.2,Mechanisms exist to require evidence of individual identification to be presented to the registration authority.,5,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28(c),Identity Evidence Validation & Verification,IAC-28.3,Mechanisms exist to require that the presented identity evidence be validated and verified through organizational-defined methods of validation and verification.,5,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28(d),In-Person Validation & Verification,IAC-28.4,Mechanisms exist to require that the validation and verification of identity evidence be conducted in person before a designated registration authority.,5,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-28(e),Address Confirmation,IAC-28.5,Mechanisms exist to require that a notice of proofing be delivered through an out-of-band channel to verify the user's address (physical or digital).,1,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-01,Incident Response Operations,IRO-01,Mechanisms exist to implement and govern processes and documentation to facilitate an organization-wide response capability for security and privacy-related incidents.,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-02,Incident Handling ,IRO-02,"Mechanisms exist to cover the preparation, automated detection or intake of incident reporting, analysis, containment, eradication and recovery.",10,All Users,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-02(a),Automated Incident Handling Processes,IRO-02.1,Automated mechanisms exist to support the incident handling process. ,1,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-02(b),Insider Threat Program ,IRO-02.2,Mechanisms exist to implement and govern an insider threat program. ,5,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-02(c),Dynamic Reconfiguration,IRO-02.3,Automated mechanisms exist to dynamically reconfigure information system components as part of the incident response capability. ,5,Technical,Enhanced,Respond,,,,,,,x,x,x,,,x,x,x,x,x,x,,x,,,,,,,,,,x,,,,
Incident Response,IRO-02(d),Continuity of Operations,IRO-02.4,Mechanisms exist to identify classes of incidents and actions to take to ensure the continuation of organizational missions and business functions.,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-02(e),Correlation with External Organizations,IRO-02.5,Mechanisms exist to coordinate with approved third-parties to achieve a cross-organization perspective on incident awareness and more effective incident responses. ,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-03,Indicators of Compromise (IOC),IRO-03,Mechanisms exist to define specific Indicators of Compromise (IOC) to identify the signs of potential cybersecurity events.,8,Technical,Basic,Respond,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Incident Response,IRO-04,Incident Response Plan (IRP) ,IRO-04,Mechanisms exist to maintain and make available a current and viable Incident Response Plan (IRP) to all stakeholders.,10,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-04(a),Personal Data (PD) Processes,IRO-04.1,"Mechanisms exist to address Personal Data (PD) incidents according to applicable laws, regulations and contractual obligations.",8,Management,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-04(b),IRP Update,IRO-04.2,"Mechanisms exist to regularly update incident response strategies to keep current with business needs, technology changes and regulatory requirements. ",8,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-05,Incident Response Training ,IRO-05,Mechanisms exist to train personnel in their incident response roles and responsibilities.,9,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-05(a),Simulated Incidents,IRO-05.1,Mechanisms exist to incorporate simulated events into incident response training to facilitate effective response by personnel in crisis situations.,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-05(b),Automated Incident Response Training Environments,IRO-05.2,Automated mechanisms exist to provide a more thorough and realistic incident response training environment.,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Incident Response,IRO-06,Incident Response Testing,IRO-06,Mechanisms exist to formally test incident response capabilities through realistic exercises to determine the operational effectiveness of those capabilities.,9,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-06(a),Coordination with Related Plans ,IRO-06.1,Mechanisms exist to coordinate incident response testing with organizational elements responsible for related plans. ,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-07,Integrated Security Incident Response Team (ISIRT),IRO-07,"Mechanisms exist to establish an integrated team of cybersecurity, IT and business function representatives that are capable of addressing cybersecurity and privacy incident response operations.",10,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-08,Chain of Custody & Forensics,IRO-08,"Mechanisms exist to perform digital forensics and maintain the integrity of the chain of custody, in accordance with applicable laws, regulations and industry-recognized secure practices.",10,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-09,Situational Awareness For Incidents,IRO-09,"Mechanisms exist to document, monitor and report the status of cybersecurity and privacy incidents to internal stakeholders all the way through the resolution of the incident.",8,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-09(a),"Automated Tracking, Data Collection & Analysis",IRO-09.1,"Automated mechanisms exist to assist in the tracking, collection and analysis of information from actual and potential security and privacy incidents.",1,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Incident Response,IRO-10,Incident Stakeholder Reporting ,IRO-10,"Mechanisms exist to timely-report incidents to applicable:
 ▪ Internal stakeholders ; 
 ▪ Affected clients & third-parties; and
 ▪ Regulatory authorities.",9,All Users,Basic,Respond,,,,,,,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,
Incident Response,IRO-10(a),Automated Reporting,IRO-10.1,Automated mechanisms exist to assist in the reporting of security and privacy incidents.,9,Technical,Enhanced,Detect,,,,,,,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,
Incident Response,IRO-10(b),Cyber Incident Reporting for Sensitive Data,IRO-10.2,Mechanisms exist to report sensitive data incidents in a timely manner.,10,Management,Basic,Detect,,,,,,,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,
Incident Response,IRO-10(c),Vulnerabilities Related To Incidents,IRO-10.3,Mechanisms exist to report system vulnerabilities associated with reported security and privacy incidents to organization-defined personnel or roles.,10,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-10(d),Supply Chain Coordination,IRO-10.4,Mechanisms exist to provide security and privacy incident information to the provider of the product or service and other organizations involved in the supply chain for systems or system components related to the incident.,7,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-11,Incident Reporting Assistance ,IRO-11,Mechanisms exist to provide incident response advice and assistance to users of systems for the handling and reporting of actual and potential security and privacy incidents. ,5,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-11(a),Automation Support of Availability of Information / Support ,IRO-11.1,Automated mechanisms exist to increase the availability of incident response-related information and support. ,1,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-11(b),Coordination With External Providers,IRO-11.2,"Mechanisms exist to establish a direct, cooperative relationship between the organization's incident response capability and external service providers.",5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-12,Information Spillage Response,IRO-12,Mechanisms exist to respond to sensitive information spills.,8,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-12(a),Responsible Personnel,IRO-12.1,Mechanisms exist to formally assign personnel or roles with responsibility for responding to sensitive information spills. ,8,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-12(b),Training,IRO-12.2,Mechanisms exist to ensure incident response training material provides coverage for sensitive information spillage response.,8,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
